date,호르무즈 해협,혁명수비대(IRGC),시아 벨트,테헤란 정권,샤헤드 드론,대리세력 네트워크,핵협상(JCPOA),중동 저항축,헤즈볼라 연계,페르시아만 긴장,제재 경제,비대칭 전력 전략,시아파 영향권,솔레이마니 사망 사건,total_headlines
2026-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16
2026-01-02,0,0,0,0,0,0,0,0,0,0,7,0,0,1,40
2026-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2026-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2026-01-05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39
2026-01-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33
2026-01-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45
2026-01-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20
2026-01-09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,32
2026-01-10,0,3,0,1,0,0,0,0,0,0,1,0,0,0,23
2026-01-11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,72
2026-01-12,0,2,0,5,0,0,2,0,0,0,1,0,0,0,118
2026-01-13,2,0,0,5,0,0,6,0,0,0,7,0,0,0,133
2026-01-14,1,5,0,0,0,0,0,0,0,0,1,0,0,0,108
2026-01-15,0,3,0,3,0,0,0,0,1,0,0,0,0,0,196
2026-01-16,0,0,0,1,0,0,0,0,0,0,6,0,0,0,96
2026-01-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31
2026-01-18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,39
2026-01-19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,68
2026-01-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32
2026-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2026-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2026-01-23,1,1,0,0,0,0,0,0,0,1,0,0,0,0,48
2026-01-24,0,1,0,0,0,0,0,0,0,1,8,0,0,0,51
2026-01-25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19
2026-01-26,0,0,0,4,0,0,0,0,0,0,1,0,0,0,42
2026-01-27,0,0,0,1,0,0,0,0,0,1,1,0,0,0,70
2026-01-28,3,0,0,0,1,0,0,0,0,0,2,0,0,0,76
2026-01-29,1,3,0,0,0,0,2,0,0,1,2,0,0,0,129
2026-01-30,11,12,0,0,0,0,1,0,0,1,3,1,0,0,113
2026-01-31,1,1,0,1,0,0,4,0,0,0,7,0,0,0,52
2026-02-01,5,1,0,0,0,0,0,0,0,0,2,0,0,0,62
2026-02-02,1,1,0,0,0,0,8,0,0,0,2,0,0,0,71
2026-02-03,1,0,0,2,0,1,8,0,0,0,3,0,0,0,54
2026-02-04,3,0,0,0,1,0,9,0,0,0,0,0,0,0,91
2026-02-05,1,0,0,1,0,0,18,0,0,1,0,0,0,0,77
2026-02-06,1,4,0,1,0,0,8,0,0,1,0,0,2,0,66
2026-02-07,1,0,0,0,0,0,13,0,0,0,12,0,0,0,70
2026-02-08,0,0,0,1,0,0,9,0,0,0,4,0,0,0,53
2026-02-09,0,0,0,0,0,0,7,0,0,0,5,0,0,0,44
2026-02-10,11,0,0,0,0,0,3,0,0,0,0,0,0,0,49
2026-02-11,1,0,0,1,0,0,4,0,0,0,0,0,0,0,62
2026-02-12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,57
2026-02-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22
2026-02-14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25
2026-02-15,1,0,0,0,0,0,8,0,0,0,9,0,0,0,23
2026-02-16,4,0,0,1,0,0,11,0,0,0,12,0,0,0,44
2026-02-17,24,0,0,0,0,0,26,0,0,0,3,0,0,0,68
2026-02-18,13,0,0,1,1,0,18,0,0,0,2,0,0,0,48
