date,Strait of Hormuz,IRGC,Shia Belt,Tehran Regime,Shahed Drone,Proxy Network,JCPOA,Axis of Resistance,Hezbollah,Persian Gulf,Sanctions,Asymmetric Warfare,Shia Influence,Soleimani,total_headlines
2026-01-01,0,5,0,9,5,0,0,0,8,0,6,0,0,5,85
2026-01-02,0,1,0,9,5,0,0,1,4,0,6,0,1,10,175
2026-01-03,6,12,0,17,3,0,0,0,4,0,1,0,1,17,138
2026-01-04,5,4,0,10,8,0,0,0,7,1,1,0,1,3,97
2026-01-05,3,8,0,13,14,0,0,0,22,1,5,0,0,2,168
2026-01-06,0,9,0,14,10,0,0,0,10,0,1,0,0,2,125
2026-01-07,0,3,0,18,10,0,0,0,13,0,3,0,0,0,147
2026-01-08,0,3,0,18,1,1,0,0,27,0,2,0,0,5,149
2026-01-09,0,7,0,17,3,0,0,0,10,2,2,0,0,3,117
2026-01-10,2,19,0,8,1,1,0,0,0,0,1,0,0,1,84
2026-01-11,0,8,0,9,0,0,2,0,10,0,1,0,0,0,150
2026-01-12,1,17,0,19,8,1,3,0,5,0,5,0,0,2,200
2026-01-13,1,12,0,16,9,0,0,0,7,3,11,0,0,0,233
2026-01-14,3,20,0,15,6,1,0,0,13,1,5,0,0,0,268
2026-01-15,6,15,0,25,8,1,0,0,17,0,36,0,0,0,377
2026-01-16,2,13,0,15,5,0,0,0,7,1,22,0,0,0,239
2026-01-17,0,10,0,10,1,2,0,0,5,0,3,0,1,1,93
2026-01-18,0,9,0,10,1,0,0,0,6,3,4,0,0,0,83
2026-01-19,0,2,0,10,6,0,0,0,11,0,1,0,0,1,107
2026-01-20,0,13,0,13,8,0,0,0,9,3,3,0,0,0,149
2026-01-21,0,6,0,10,5,0,0,0,9,2,5,0,0,0,147
2026-01-22,1,18,0,9,8,1,0,0,8,3,3,0,0,0,139
2026-01-23,2,6,0,12,5,0,0,0,7,2,18,0,0,1,140
2026-01-24,0,9,0,11,5,0,0,0,4,0,3,0,0,0,103
2026-01-25,4,1,0,9,3,0,0,0,6,4,0,0,0,0,82
2026-01-26,3,10,0,13,6,0,0,0,22,5,13,0,0,1,222
2026-01-27,5,12,0,18,2,0,0,1,20,3,4,1,0,0,186
2026-01-28,23,23,0,21,7,2,26,0,3,0,5,0,0,0,264
2026-01-29,21,93,0,17,4,0,24,0,8,2,21,0,1,0,362
2026-01-30,5,28,0,12,2,0,1,0,6,1,14,0,1,1,182
2026-01-31,14,14,0,11,1,0,4,0,5,2,4,0,0,0,114
2026-02-01,4,12,0,9,3,0,4,0,12,6,1,0,0,1,130
2026-02-02,2,21,0,20,5,0,5,0,15,0,10,0,0,0,162
2026-02-03,24,12,0,26,9,1,7,0,19,0,12,0,1,0,308
2026-02-04,13,5,0,10,13,1,1,0,12,2,1,0,1,0,174
2026-02-05,12,28,0,13,6,0,4,0,5,16,3,0,0,1,238
2026-02-06,8,8,0,20,4,0,1,0,21,8,21,0,0,0,225
2026-02-07,0,6,0,16,1,0,0,0,4,0,8,0,0,0,109
2026-02-08,0,4,0,16,4,0,2,0,9,1,1,0,3,0,106
2026-02-09,9,1,0,11,8,0,2,0,12,2,21,0,0,0,165
2026-02-10,20,3,0,12,4,1,2,0,19,1,13,0,0,0,162
2026-02-11,4,5,0,18,0,1,13,0,9,1,5,0,0,0,189
2026-02-12,3,3,0,5,0,0,7,0,4,1,6,0,0,0,136
2026-02-13,0,1,0,5,1,0,1,0,3,2,3,0,0,0,45
2026-02-14,0,0,0,3,2,0,2,0,1,0,9,0,0,0,23
2026-02-15,0,0,0,5,1,0,6,0,3,0,8,0,0,0,43
2026-02-16,18,19,0,18,1,0,1,0,2,1,3,0,0,1,70
2026-02-17,21,12,0,12,3,0,8,0,11,2,3,0,0,0,108
2026-02-18,2,2,0,6,5,0,2,0,3,1,1,0,0,0,76
